date;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
25.3.2000;-0.85;-0.542800822;-0.390456047;-0.324983348;-0.290721879;-0.269333252;-0.255673983;-0.247433955;-0.243534841;-0.243534841;-0.247433955;-0.255673983;-0.269333252;-0.290721879;-0.324983348;-0.390456047;-0.542800822;-0.85
26.3.2000;-0.85;-0.548474688;-0.394934853;-0.328407935;-0.294195098;-0.272778729;-0.259101265;-0.250852021;-0.246948859;-0.246948859;-0.250852021;-0.259101265;-0.272778729;-0.294195098;-0.328407935;-0.394934853;-0.548474688;-0.85
27.3.2000;-0.85;-0.554246921;-0.399339779;-0.331685136;-0.29755277;-0.276118577;-0.262425838;-0.254168475;-0.250261878;-0.250261878;-0.254168475;-0.262425838;-0.276118577;-0.29755277;-0.331685136;-0.399339779;-0.554246921;-0.85
28.3.2000;-0.85;-0.56010281;-0.403683781;-0.334838749;-0.300812905;-0.279370759;-0.265665981;-0.25740173;-0.253492202;-0.253492202;-0.25740173;-0.265665981;-0.279370759;-0.300812905;-0.334838749;-0.403683781;-0.56010281;-0.85
29.3.2000;-0.85;-0.5660143;-0.407973644;-0.3378894;-0.303988433;-0.282547462;-0.268833662;-0.260563737;-0.256651742;-0.256651742;-0.260563737;-0.268833662;-0.282547462;-0.303988433;-0.3378894;-0.407973644;-0.5660143;-0.85
30.3.2000;-0.85;-0.571911283;-0.412186246;-0.340833817;-0.307065446;-0.285633572;-0.271913011;-0.263638457;-0.259724419;-0.259724419;-0.263638457;-0.271913011;-0.285633572;-0.307065446;-0.340833817;-0.412186246;-0.571911283;-0.85
31.3.2000;-0.85;-0.577776363;-0.41635363;-0.34372209;-0.310080763;-0.288661997;-0.274936126;-0.266657586;-0.262741772;-0.262741772;-0.266657586;-0.274936126;-0.288661997;-0.310080763;-0.34372209;-0.41635363;-0.577776363;-0.85
1.4.2000;-0.85;-0.583503588;-0.420435887;-0.34654082;-0.313004296;-0.29159864;-0.277867924;-0.269585729;-0.265668314;-0.265668314;-0.269585729;-0.277867924;-0.29159864;-0.313004296;-0.34654082;-0.420435887;-0.583503588;-0.85
2.4.2000;-0.85;-0.589107509;-0.42451606;-0.349389442;-0.315915661;-0.294516322;-0.280778537;-0.27249193;-0.268572682;-0.268572682;-0.27249193;-0.280778537;-0.294516322;-0.315915661;-0.349389442;-0.42451606;-0.589107509;-0.85
3.4.2000;-0.85;-0.594445781;-0.428536783;-0.352238369;-0.318763945;-0.29735838;-0.283609678;-0.27531679;-0.271395128;-0.271395128;-0.27531679;-0.283609678;-0.29735838;-0.318763945;-0.352238369;-0.428536783;-0.594445781;-0.85
4.4.2000;-0.85;-0.599413522;-0.432459172;-0.35506919;-0.321516784;-0.30008708;-0.286321382;-0.278019439;-0.274094401;-0.274094401;-0.278019439;-0.286321382;-0.30008708;-0.321516784;-0.35506919;-0.432459172;-0.599413522;-0.85
5.4.2000;-0.85;-0.6041569;-0.436474587;-0.358068734;-0.324348679;-0.302869897;-0.289076607;-0.280760862;-0.276830647;-0.276830647;-0.280760862;-0.289076607;-0.302869897;-0.324348679;-0.358068734;-0.436474587;-0.6041569;-0.85
6.4.2000;-0.85;-0.60853049;-0.440475778;-0.361138725;-0.327159208;-0.305605652;-0.291773308;-0.283438855;-0.279501143;-0.279501143;-0.283438855;-0.291773308;-0.305605652;-0.327159208;-0.361138725;-0.440475778;-0.60853049;-0.85
7.4.2000;-0.85;-0.612549942;-0.444493439;-0.364305956;-0.32997368;-0.308318935;-0.294434775;-0.286075817;-0.282127903;-0.282127903;-0.286075817;-0.294434775;-0.308318935;-0.32997368;-0.364305956;-0.444493439;-0.612549942;-0.85
8.4.2000;-0.85;-0.616221692;-0.448536203;-0.367571589;-0.332794432;-0.311013574;-0.297064638;-0.288674856;-0.284714489;-0.284714489;-0.288674856;-0.297064638;-0.311013574;-0.332794432;-0.367571589;-0.448536203;-0.616221692;-0.85
9.4.2000;-0.85;-0.619585231;-0.452636624;-0.370954584;-0.335641482;-0.313712596;-0.29968638;-0.291259118;-0.287283597;-0.287283597;-0.291259118;-0.29968638;-0.313712596;-0.335641482;-0.370954584;-0.452636624;-0.619585231;-0.85
10.4.2000;-0.85;-0.622460106;-0.456565801;-0.374222997;-0.338304132;-0.316213077;-0.30210099;-0.293631201;-0.289638332;-0.289638332;-0.293631201;-0.30210099;-0.316213077;-0.338304132;-0.374222997;-0.456565801;-0.622460106;-0.85
11.4.2000;-0.85;-0.59959765;-0.432787882;-0.351616551;-0.316657276;-0.294794483;-0.280864792;-0.272485412;-0.268530583;-0.268530583;-0.272485412;-0.280864792;-0.294794483;-0.316657276;-0.351616551;-0.432787882;-0.59959765;-0.85
12.4.2000;-0.85;-0.569693106;-0.403855181;-0.326310002;-0.291321099;-0.269698609;-0.255934871;-0.247651301;-0.243737883;-0.243737883;-0.247651301;-0.255934871;-0.269698609;-0.291321099;-0.326310002;-0.403855181;-0.569693106;-0.85
13.4.2000;-0.85;-0.53979097;-0.377010167;-0.304704582;-0.269126037;-0.247508686;-0.233757924;-0.225463638;-0.221540008;-0.221540008;-0.225463638;-0.233757924;-0.247508686;-0.269126037;-0.304704582;-0.377010167;-0.53979097;-0.85
14.4.2000;-0.85;-0.526590539;-0.366256742;-0.297460997;-0.261713045;-0.23998098;-0.226169354;-0.217847534;-0.213911609;-0.213911609;-0.217847534;-0.226169354;-0.23998098;-0.261713045;-0.297460997;-0.366256742;-0.526590539;-0.85
15.4.2000;-0.85;-0.522799549;-0.364389162;-0.297561123;-0.261877288;-0.240068376;-0.226208287;-0.217860217;-0.213912583;-0.213912583;-0.217860217;-0.226208287;-0.240068376;-0.261877288;-0.297561123;-0.364389162;-0.522799549;-0.85
16.4.2000;-0.85;-0.47998929;-0.325231979;-0.263747072;-0.229317052;-0.20764216;-0.193610426;-0.185078255;-0.181033799;-0.181033799;-0.185078255;-0.193610426;-0.20764216;-0.229317052;-0.263747072;-0.325231979;-0.47998929;-0.85
