date;0;1;2;3;4;5;6;7;8;9;10;11
17.6.2006;-1.03;-1.006029646;-0.945422068;-0.892410678;-0.856023479;-0.837743881;-0.837743881;-0.856023479;-0.892410678;-0.945422068;-1.006029646;-1.03
18.6.2006;-1.03;-0.992693703;-0.934145357;-0.882223315;-0.846321032;-0.828241034;-0.828241034;-0.846321032;-0.882223315;-0.934145357;-0.992693703;-1.03
19.6.2006;-1.03;-0.998935062;-0.943281604;-0.893168421;-0.858248575;-0.84061416;-0.84061416;-0.858248575;-0.893168421;-0.943281604;-0.998935062;-1.03
20.6.2006;-1.03;-1.006390662;-0.953887927;-0.905678257;-0.871833524;-0.854688833;-0.854688833;-0.871833524;-0.905678257;-0.953887927;-1.006390662;-1.03
21.6.2006;-1.03;-1.015138435;-0.966061815;-0.919842164;-0.887152139;-0.870534951;-0.870534951;-0.887152139;-0.919842164;-0.966061815;-1.015138435;-1.03
22.6.2006;-1.03;-1.024993382;-0.979627024;-0.935455836;-0.903962961;-0.887914583;-0.887914583;-0.903962961;-0.935455836;-0.979627024;-1.024993382;-1.03
23.6.2006;-1.034299626;-1.034299629;-0.992470558;-0.950257936;-0.919895057;-0.904382056;-0.904382056;-0.919895057;-0.950257936;-0.992470558;-1.034299629;-1.034299626
24.6.2006;-1.046901984;-1.046901985;-1.008355893;-0.968199668;-0.939062695;-0.924132233;-0.924132233;-0.939062695;-0.968199668;-1.008355893;-1.046901985;-1.046901984
25.6.2006;-1.055914907;-1.055914912;-1.020091188;-0.981697979;-0.953565332;-0.939108426;-0.939108426;-0.953565332;-0.981697979;-1.020091188;-1.055914912;-1.055914907
26.6.2006;-1.061645416;-1.061645419;-1.028084947;-0.991183909;-0.963864355;-0.949781223;-0.949781223;-0.963864355;-0.991183909;-1.028084947;-1.061645419;-1.061645416
27.6.2006;-1.070635004;-1.070635008;-1.039269271;-1.003979336;-0.977588677;-0.963932606;-0.963932606;-0.977588677;-1.003979336;-1.039269271;-1.070635008;-1.070635004
28.6.2006;-1.079429042;-1.079429046;-1.050033069;-1.016266832;-0.990768474;-0.977520795;-0.977520795;-0.990768474;-1.016266832;-1.050033069;-1.079429046;-1.079429042
29.6.2006;-1.08498933;-1.084989332;-1.057250468;-1.024782248;-1.000030044;-0.987117404;-0.987117404;-1.000030044;-1.024782248;-1.057250468;-1.084989332;-1.08498933
30.6.2006;-1.039974673;-1.039974673;-1.013119287;-0.981037261;-0.956266035;-0.94324926;-0.94324926;-0.956266035;-0.981037261;-1.013119287;-1.039974673;-1.039974673
1.7.2006;-1.036297967;-1.036297964;-1.01080223;-0.979776971;-0.955571424;-0.942792715;-0.942792715;-0.955571424;-0.979776971;-1.01080223;-1.036297964;-1.036297967
2.7.2006;-1.035693921;-1.03569392;-1.011635754;-0.981857704;-0.958393704;-0.945951289;-0.945951289;-0.958393704;-0.981857704;-1.011635754;-1.03569392;-1.035693921
3.7.2006;-1.03093278;-1.030932776;-1.008081473;-0.979344667;-0.956475551;-0.94429004;-0.94429004;-0.956475551;-0.979344667;-1.008081473;-1.030932776;-1.03093278
4.7.2006;-1.03;-1.020408039;-0.998009463;-0.970119913;-0.947719704;-0.935724672;-0.935724672;-0.947719704;-0.970119913;-0.998009463;-1.020408039;-1.03
5.7.2006;-1.03;-0.993473217;-0.969773763;-0.942432716;-0.920365936;-0.908485912;-0.908485912;-0.920365936;-0.942432716;-0.969773763;-0.993473217;-1.03
6.7.2006;-1.03;-0.972220204;-0.945989857;-0.918960163;-0.897193052;-0.885427598;-0.885427598;-0.897193052;-0.918960163;-0.945989857;-0.972220204;-1.03
